"","Nimi","Punktid15","Punktid16","Punktid17","Punktid18","pkokku"
"167","ORPHEUS (2008)","18","62.1","0","0",80.1
"134","KONTADOR V.D. DOORNDONKHOEVE C (2010)","28","52","0","0",80
"555","HIGHSCORE ""B"" (2012)","0","21.6","37","21",79.6
"713","ZINZINO (2012)","0","0","48","31.4",79.4
"100","APRIL (2005)","43","36","0","0",79
"507","SOLARIS (2008)","0.5","24.5","13","41",79
"351","SIOFOR (2006)","3","55","20","0",78
"744","AK MERCEDES DREAM (2007)","0","0","19.5","58",77.5
"718","OBSIDIAN (2004)","0","0","38","39",77
"565","HARPOCRATES K (2012)","0","16.8","39","21",76.8
"143","HOLEY HIRAM (2010)","24","5","47.5","0",76.5
"564","CAHIR N (2012)","0","16.8","59","0",75.8
"358","CALVIN (2008)","2.5","1","25","47",75.5
"84","ALŽIIR (2004)","56","16","1","1.2",74.2
"395","LUNDVER (2009)","2","14","47","11",74
"183","BERSINAA (2006)","14","0","0","59.5",73.5
"533","CALLUP (2009)","0","48","18","6",72
"686","POKARDI (2011)","0","1","34","37",72
"501","RASLIWIA (2010)","0.5","0","71","0",71.5
"141","KENT LAKES (2010)","25","4","20","21",70
"112","BANDITO B (2006)","37","32","0","0",69
"539","FUNS H (2010)","0","37","32","0",69
"803","BALERIIN (2011)","0","0","6","63",69
"278","CADMIUM (2008)","5","2","20","41",68
"887","NATREJU (2012)","0","0","0","67.2",67.2
"618","TETLEY (2004)","0","4","50","13",67
"240","ZOE (2007)","8","33","25.5","0",66.5
"191","HOLI (2010)","13","26","27","0",66
"288","BELLE CHARMANTE (2010)","4.5","16.5","30.5","14",65.5
"714","GEWITWEL Z (2010)","0","0","45.5","20",65.5
"591","DIAMANT'S GIRL Z (2009)","0","8","6","51",65
"812","PICANTO M (2012)","0","0","6","58.8",64.8
"741","HERDI (2012)","0","0","20","44.6",64.6
"550","SO CHIC V 'T GELUTT Z (2008)","0","23.25","30","11",64.25
"178","VERSON (2004)","16","36","3","9",64
"77","TAHIS DU MASURE (2007)","63","0","0","0",63
"146","TWENTY- ONE (2007)","24","10","20","9",63
"576","LAS VEGAS (2011)","0","14","49","0",63
"294","TRIKK (2008, SP)","4.5","19","39","0",62.5
"144","SACIRA N (2008)","24","38","0","0",62
"721","CHARLENE (2012)","0","0","33","29",62
"538","EPOPEJA G (2008)","0","37","24","0",61
"722","UP TO DATE (2004)","0","0","32","28",60
"528","GOLDEN CASINO (2000)","0","59.5","0","0",59.5
"80","GAMIN S (2006)","59.25","0","0","0",59.25
"604","PICASA (2009)","0","6","31","22",59
"717","CASH IS KING (2004)","0","0","39","20",59
"154","PORTOS (2000)","21","21.4","16.5","0",58.9
"125","CON BRIO (2007)","30.5","28","0","0",58.5
"498","PORTHOS (2006)","0.5","8","50","0",58.5
"113","ODELIA (2003)","36.45","22","0","0",58.45
"469","WESTERN (2001)","1","20","26","11",58
"529","CALINA (2003)","0","58","0","0",58
"590","BUSTER BRIGHT (2008)","0","8.5","49.5","0",58
"83","ZWINGDOC V (2004)","57","0","0","0",57
"267","JASON-HILTON (2009)","6","51","0","0",57
"152","PÄRN (1998)","21.5","28.8","5","1",56.3
"85","LORD OF THE RINGS N (2009)","56","0","0","0",56
"139","DOLORES (2008)","26","15","14","1",56
