"symbol";"nimi";"sektor";"hind";"tootlus";"kogus";"kasum_aktsia_kohta";"dividend_aktsia_kohta"
"ES";"Eversource Energy";"Utilities";56.4;-0.16;34245;2.81;1.9
"ESRX";"Express Scripts";"Health Care";67.42;-0.3;172759;4.45;0
"ESS";"Essex Property Trust, Inc.";"Real Estate";228.42;0.15;14769;6.27;6.4
"ETFC";"E*Trade";"Financials";35.3;0.68;66642;1.98;0
"ETN";"Eaton Corporation";"Industrials";70.29;0.46;65752;4.21;2.28
"ETR";"Entergy Corp.";"Utilities";71.24;-0.22;28369;7.16;3.48
"EW";"Edwards Lifesciences";"Health Care";90.8;-0.03;46526;2.61;NA
"EVHC";"Envision Healthcare Corp";"Health Care";70.425;0.722;36075;3.24;NA
"EXC";"Exelon Corp.";"Utilities";34.51;-2.04;621169;1.33;1.31
"EXPD";"Expeditors Int'l";"Industrials";53.68;0.26;17032;2.36;0.8
"EXPE";"Expedia Inc.";"Consumer Discretionary";122.87;0.02;165124;1.26;1.04
"EXR";"Extra Space Storage";"Real Estate";74.53;0.46;21992;2.32;3.12
"F";"Ford Motor";"Consumer Discretionary";12.4;0.16;1448492;1.81;0.6
"FAST";"Fastenal Co";"Industrials";49.8;-0.04;42977;1.73;1.28
"FB";"Facebook";"Information Technology";134.08;-0.09;1843363;3.49;NA
"FBHS";"Fortune Brands Home & Security";"Industrials";55.66;-0.5;40277;2.62;0.72
"FCX";"Freeport-McMoran Cp & Gld";"Materials";15.36;-1.09;2200134;-3.15;0
"FDX";"FedEx Corporation";"Industrials";187.83;-0.07;60524;6.8;1.6
"FE";"FirstEnergy Corp";"Utilities";29.97;-0.23;73878;-1.43;1.44
"FFIV";"F5 Networks";"Information Technology";139.91;0.74;28145;5.54;NA
"FIS";"Fidelity National Information Services";"Information Technology";79.98;0.18;113820;1.44;1.16
"FISV";"Fiserv Inc";"Information Technology";108.24;0.43;106573;3.99;NA
"FITB";"Fifth Third Bancorp";"Financials";25.96;0.27;342756;1.93;0.56
"FL";"Foot Locker Inc";"Consumer Discretionary";70.56;1.28;60647;4.63;1.1
"FLIR";"FLIR Systems";"Industrials";35.81;0.28;10710;1.27;0.48
"FLR";"Fluor Corp.";"Industrials";54.79;0.31;91442;1.13;0.84
"FLS";"Flowserve Corporation";"Industrials";50.89;0.51;55116;1.15;0.76
"FMC";"FMC Corporation";"Materials";57.3;0.1;65525;-0.09;0.66
"FOX";"Twenty-First Century Fox Class B";"Consumer Discretionary";29.9;0.27;167227;1.51;0.36
"FOXA";"Twenty-First Century Fox Class A";"Consumer Discretionary";30.24;0.1;362686;1.51;0.36
"FRT";"Federal Realty Investment Trust";"Real Estate";141.04;0.51;9338;3.68;3.92
"FSLR";"First Solar Inc";"Information Technology";32.18;2;139663;4.89;NA
"FTI";"FMC Technologies Inc.";"Energy";31.08;-0.45;214590;4.66;1.12
"FTR";"Frontier Communications";"Telecommunications Services";3.3;0;848890;-0.53;0.42
"FTV";"Fortive Corp";"Industrials";56.45;0.48;38752;2.56;0.28
"GD";"General Dynamics";"Industrials";183.245;0.057;53985;9.525;3.04
"GE";"General Electric";"Industrials";29.5412;0.3778;1296006;0.896;0.96
"GGP";"General Growth Properties Inc.";"Real Estate";25.16;0.44;148545;1.34;0.88
"GILD";"Gilead Sciences";"Health Care";65.99;-1.26;2069422;10.81;1.88
"GIS";"General Mills";"Consumer Staples";62.39;0.27;144271;2.68;1.92
"GLW";"Corning Inc.";"Industrials";26.65;0.64;260025;3.23;0.62
"GM";"General Motors";"Consumer Discretionary";35.18;0.11;1088630;8.76;1.52
"GOOG";"Alphabet Inc Class C";"Information Technology";808.44;0.01;94960;27.88;NA
"GOOGL";"Alphabet Inc Class A";"Information Technology";829.5743;-0.0368;112639;27.877;NA
"GPC";"Genuine Parts";"Consumer Discretionary";99.29;0.25;16065;4.63;2.63
"GPN";"Global Payments Inc";"Information Technology";78.98;-0.11;80466;1.65;0.04
"GPS";"Gap (The)";"Consumer Discretionary";23.69;1.63;174615;1.68;0.92
"GRMN";"Garmin Ltd.";"Consumer Discretionary";48.78;-0.14;31797;2.68;2.04
"GS";"Goldman Sachs Group";"Financials";238.2;0.2;172639;16.29;2.6
"GT";"Goodyear Tire & Rubber";"Consumer Discretionary";32.82;2.15;202676;1.2;0.34
"GWW";"Grainger (W.W.) Inc.";"Industrials";252.53;-0.26;12188;9.87;4.88
"HAL";"Halliburton Co.";"Energy";55.71;0.49;595865;-6.69;0.72
"HAR";"Harman Int'l Industries";"Consumer Discretionary";111.16;0.02;70041;5.06;1.4
"HAS";"Hasbro Inc.";"Consumer Discretionary";97.111;0.508;112693;4.209;2.04
"HBAN";"Huntington Bancshares";"Financials";13.43;0.22;567646;0.67;0.32
"HBI";"Hanesbrands Inc";"Consumer Discretionary";20.1087;1.0995;355633;1.406;0.6
"HCA";"HCA Holdings";"Health Care";82.93;-0.08;66513;7.3;0
"HCN";"Welltower Inc.";"Real Estate";66.08;0.08;56748;2.27;3.48
"HCP";"HCP Inc.";"Real Estate";30.8801;-0.0967;100589;-0.067;1.48
"HD";"Home Depot";"Consumer Discretionary";137.79;-0.07;167400;6.16;2.76
"HES";"Hess Corporation";"Energy";52.0623;1.0134;158237;-19.92;1
"HIG";"Hartford Financial Svc.Gp.";"Financials";47.14;0.19;61883;2.27;0.92
"HOG";"Harley-Davidson";"Consumer Discretionary";56.585;-0.449;76896;3.83;1.4
"HOLX";"Hologic";"Health Care";39.46;0.77;67320;1.17;NA
"HON";"Honeywell Int'l Inc.";"Industrials";119.95;0.18;81455;6.2;2.66
"HP";"Helmerich & Payne";"Energy";68.23;-0.79;119777;-1.02;2.8
"HPE";"Hewlett Packard Enterprise";"Information Technology";23.64;0.04;262982;1.82;0.24
"HPQ";"HP Inc.";"Information Technology";15.51;0;455910;1.43;0.53
"HRB";"Block H&R";"Financials";21.375;1.016;96788;1.557;0.88
"HRL";"Hormel Foods Corp.";"Consumer Staples";36.7;0.6;111714;1.64;0.68
"HRS";"Harris Corporation";"Information Technology";105.5;0.56;37591;5.28;2.12
"HSIC";"Henry Schein";"Health Care";163.71;0.06;21030;6.02;NA
"HST";"Host Hotels & Resorts";"Real Estate";18.33;0;309097;1.06;1
"HSY";"The Hershey Company";"Consumer Staples";108;0.95;64361;3.34;2.47
"HUM";"Humana Inc.";"Health Care";203.335;1.851;91361;7.395;1.16
"IBM";"International Business Machines";"Information Technology";176.24;0.04;102175;12.38;5.6
"ICE";"Intercontinental Exchange";"Financials";57.18;0.25;111969;2.44;0.68
"IDXX";"IDEXX Laboratories";"Health Care";141.4;0.21;26721;2.44;NA
"IFF";"Intl Flavors & Fragrances";"Materials";117.995;0.064;18089;5.026;2.56
"ILMN";"Illumina Inc";"Health Care";163.46;0.31;23109;3.07;NA
"INTC";"Intel Corp.";"Information Technology";36.34;-0.11;1080866;2.12;1.04
"INTU";"Intuit Inc.";"Information Technology";116.71;0.14;80097;3.74;1.36
"IP";"International Paper";"Materials";52.65;-0.85;333108;2.18;1.85
"IPG";"Interpublic Group";"Consumer Discretionary";23.14;0.35;136482;1.34;0.6
