fare_id,price,currency_type,payment_method,transfers,agency_id
599,5.90,EUR,0,0,60
600,4.80,EUR,0,0,60
601,5.75,EUR,0,0,60
602,5.30,EUR,0,0,60
603,4.95,EUR,0,0,60
604,5.55,EUR,0,0,60
605,5.40,EUR,0,0,60
606,5.70,EUR,0,0,60
607,5.80,EUR,0,0,60
608,5.95,EUR,0,0,60
609,0.60,EUR,0,0,100047
610,1.88,EUR,0,0,60
611,8.25,EUR,0,0,60
612,0.50,EUR,0,0,60
613,6.35,EUR,0,0,60
614,0.45,EUR,0,0,60
615,6.50,EUR,0,0,60
616,7.15,EUR,0,0,60
617,7.05,EUR,0,0,60
618,0.40,EUR,0,0,60
619,6.30,EUR,0,0,60
620,6.70,EUR,0,0,60
621,8.15,EUR,0,0,60
622,6.05,EUR,0,0,60
623,8.65,EUR,0,0,60
624,7.25,EUR,0,0,60
625,6.75,EUR,0,0,60
626,6.25,EUR,0,0,60
627,6.00,EUR,0,0,60
628,8.35,EUR,0,0,60
629,9.15,EUR,0,0,60
630,10.55,EUR,0,0,60
631,11.10,EUR,0,0,60
632,6.80,EUR,0,0,60
633,6.20,EUR,0,0,60
634,6.85,EUR,0,0,60
635,7.75,EUR,0,0,60
636,8.75,EUR,0,0,60
637,0.35,EUR,0,0,60
638,8.30,EUR,0,0,60
639,6.90,EUR,0,0,60
640,9.80,EUR,0,0,60
641,6.10,EUR,0,0,60
642,8.40,EUR,0,0,60
643,7.45,EUR,0,0,60
644,7.55,EUR,0,0,60
645,8.55,EUR,0,0,60
646,6.95,EUR,0,0,60
647,10.25,EUR,0,0,60
648,10.20,EUR,0,0,60
649,11.00,EUR,0,0,60
650,6.45,EUR,0,0,60
651,7.00,EUR,0,0,60
652,8.05,EUR,0,0,60
653,7.80,EUR,0,0,60
654,6.65,EUR,0,0,60
655,7.30,EUR,0,0,60
656,8.20,EUR,0,0,60
657,7.35,EUR,0,0,60
658,7.40,EUR,0,0,60
659,6.55,EUR,0,0,60
660,10.85,EUR,0,0,60
661,9.30,EUR,0,0,60
662,6.15,EUR,0,0,60
663,9.00,EUR,0,0,60
664,8.60,EUR,0,0,60
665,6.60,EUR,0,0,60
666,7.65,EUR,0,0,60
667,7.95,EUR,0,0,60
668,8.95,EUR,0,0,60
669,7.20,EUR,0,0,60
670,7.70,EUR,0,0,60
671,6.40,EUR,0,0,60
672,7.90,EUR,0,0,60
673,7.60,EUR,0,0,60
674,8.10,EUR,0,0,60
675,8.70,EUR,0,0,60
676,9.10,EUR,0,0,60
677,8.45,EUR,0,0,60
678,9.20,EUR,0,0,60
679,8.00,EUR,0,0,60
680,7.50,EUR,0,0,60
681,7.85,EUR,0,0,60
682,8.90,EUR,0,0,60
683,8.85,EUR,0,0,60
684,8.80,EUR,0,0,60
685,9.35,EUR,0,0,60
686,7.10,EUR,0,0,60
687,9.05,EUR,0,0,60
688,8.50,EUR,0,0,60
689,9.40,EUR,0,0,60
690,11.50,EUR,0,0,82
691,10.20,EUR,0,0,82
692,8.40,EUR,0,0,82
693,3.70,EUR,0,0,100046
694,1.85,EUR,0,0,219
695,2.00,EUR,0,0,219
696,42.65,EUR,0,0,60
697,0.30,EUR,0,0,25
698,1.00,EUR,0,0,289
699,3.10,EUR,0,0,289
700,1.80,EUR,0,0,289
701,1.10,EUR,0,0,289
702,2.80,EUR,0,0,289
703,1.90,EUR,0,0,289
704,4.30,EUR,0,0,289
705,2.20,EUR,0,0,289
706,3.40,EUR,0,0,289
707,2.10,EUR,0,0,289
708,1.40,EUR,0,0,289
709,1.60,EUR,0,0,289
710,2.30,EUR,0,0,289
711,1.70,EUR,0,0,289
712,2.60,EUR,0,0,289
713,1.30,EUR,0,0,289
714,2.50,EUR,0,0,289
715,3.70,EUR,0,0,289
716,1.50,EUR,0,0,289
717,4.00,EUR,0,0,289
718,3.80,EUR,0,0,289
719,3.50,EUR,0,0,289
720,3.20,EUR,0,0,289
721,2.00,EUR,0,0,289
722,1.20,EUR,0,0,289
723,2.90,EUR,0,0,289
724,4.10,EUR,0,0,289
725,5.10,EUR,0,0,100046
726,4.40,EUR,0,0,100046
727,5.00,EUR,0,0,289
728,4.40,EUR,0,0,289
729,0.00,EUR,0,0,289
730,2.70,EUR,0,0,289
731,4.90,EUR,0,0,289
732,2.40,EUR,0,0,289
733,3.00,EUR,0,0,289
734,3.30,EUR,0,0,289
735,4.80,EUR,0,0,289
736,3.60,EUR,0,0,289
737,3.90,EUR,0,0,289
738,4.20,EUR,0,0,289
739,4.60,EUR,0,0,289
740,4.70,EUR,0,0,289
741,3.35,EUR,0,0,25
742,3.45,EUR,0,0,25
743,3.60,EUR,0,0,25
744,3.55,EUR,0,0,25
745,3.80,EUR,0,0,25
746,3.85,EUR,0,0,25
747,3.65,EUR,0,0,25
748,3.75,EUR,0,0,25
749,4.05,EUR,0,0,25
750,4.15,EUR,0,0,25
751,4.25,EUR,0,0,25
752,3.95,EUR,0,0,25
753,3.70,EUR,0,0,25
754,3.90,EUR,0,0,25
755,4.35,EUR,0,0,25
756,4.30,EUR,0,0,25
757,4.20,EUR,0,0,25
758,4.10,EUR,0,0,25
759,4.40,EUR,0,0,25
760,4.45,EUR,0,0,25
761,4.60,EUR,0,0,25
762,4.00,EUR,0,0,25
763,4.55,EUR,0,0,25
764,3.71,EUR,0,0,25
765,4.65,EUR,0,0,25
766,0.10,EUR,0,0,60
767,0.15,EUR,0,0,60
768,0.20,EUR,0,0,60
769,0.30,EUR,0,0,60
770,0.25,EUR,0,0,60
771,0.52,EUR,0,0,25
772,2.20,EUR,0,0,219
773,3.00,EUR,0,0,219
774,2.90,EUR,0,0,219
775,2.75,EUR,0,0,219
776,2.95,EUR,0,0,219
777,0.44,EUR,0,0,25
778,1.77,EUR,0,0,60
779,10.75,EUR,0,0,60
780,9.65,EUR,0,0,60
781,10.40,EUR,0,0,60
782,10.95,EUR,0,0,60
783,10.10,EUR,0,0,60
784,10.05,EUR,0,0,60
785,10.65,EUR,0,0,60
786,9.60,EUR,0,0,60
787,10.15,EUR,0,0,60
788,10.45,EUR,0,0,60
789,10.70,EUR,0,0,60
790,10.90,EUR,0,0,60
791,10.80,EUR,0,0,60
792,2.00,EUR,0,0,117
793,2.66,EUR,0,0,60
794,0.00,EUR,0,0,71
795,0.10,EUR,0,0,71
796,1.07,EUR,0,0,60
797,0.80,EUR,0,0,208
798,1.00,EUR,0,0,208
799,2.00,EUR,0,0,208
800,2.20,EUR,0,0,208
801,1.70,EUR,0,0,208
802,1.60,EUR,0,0,208
803,1.10,EUR,0,0,208
804,2.10,EUR,0,0,208
805,1.30,EUR,0,0,208
806,0.90,EUR,0,0,208
807,1.80,EUR,0,0,208
808,2.30,EUR,0,0,208
809,1.90,EUR,0,0,208
810,1.50,EUR,0,0,208
811,2.50,EUR,0,0,208
812,1.40,EUR,0,0,208
813,1.20,EUR,0,0,208
814,2.40,EUR,0,0,208
815,8.35,EUR,0,0,47
816,0.00,EUR,0,0,47
817,5.85,EUR,0,0,47
818,17.00,EUR,0,0,47
819,2.81,EUR,0,0,60
820,1.66,EUR,0,0,60
821,2.61,EUR,0,0,60
822,0.77,EUR,0,0,60
823,1.47,EUR,0,0,60
824,1.81,EUR,0,0,60
825,1.06,EUR,0,0,60
826,2.69,EUR,0,0,60
827,0.67,EUR,0,0,60
828,1.31,EUR,0,0,60
829,1.68,EUR,0,0,60
830,1.41,EUR,0,0,60
831,1.82,EUR,0,0,60
832,1.23,EUR,0,0,60
833,2.16,EUR,0,0,60
834,1.21,EUR,0,0,60
835,2.03,EUR,0,0,60
836,0.66,EUR,0,0,60
837,1.02,EUR,0,0,60
838,1.56,EUR,0,0,60
